text,label
What is the primary goal of capital budgeting for a firm?,1
How do you calculate the weighted average cost of capital?,1
Should we accept a project with an IRR of 12% if the WACC is 15%?,1
Can u explain how ncf differs from net income in working cap?,1
What is the impact of a 2-for-1 stock split on equity?,1
Discuss the difference between a horizontal and vertical merger.,1
Calculate the cost of equity using CAPM with a beta of 1.2.,1
What happens to the current ratio if we pay off accounts payable with cash?,1
scenario: company a acquires company b for a 30 percent premium. is this accretive?,1
Why might a firm choose a share buyback over a cash dividend?,1
How does depreciation affect cash flow in a DCF model?,1
What are the main components of the cash conversion cycle?,1
def of synergy in m&a context,1
explain the pecking order theory of capital structure,1
How is the cost of debt calculated on an after-tax basis?,1
What is a leveraged buyout and how does it affect the balance sheet?,1
Should a firm increase its dividend if it has many NPV positive projects?,1
What is the significance of the terminal value in a valuation?,1
how do net working capital changes affect free cash flow?,1
What is a poison pill defense in a hostile takeover?,1
Explain the Modigliani-Miller theorem without taxes.,1
Why is the NPV method generally preferred over the IRR method?,1
How do you estimate the terminal growth rate for a DCF?,1
impact of rising interest rates on a company's wacc,1
What is the difference between a spin-off and a split-off?,1
Explain the concept of capital rationing in investment decisions.,1
How does an increase in inventory levels affect the quick ratio?,1
Scenario: Firm has a high D/E ratio. How does this affect its financial risk?,1
What is the bird-in-the-hand theory regarding dividends?,1
How to calculate the cost of preferred stock?,1
Explain the role of a white knight in corporate restructuring.,1
What are the disadvantages of a high dividend payout ratio?,1
how do accounts receivable aging schedules help in working capital mgt?,1
What is the profitability index and how is it used?,1
Explain the tax shield benefit of debt financing.,1
What is a conglomerate merger?,1
How does a stock repurchase affect earnings per share?,1
descibe the process of a discounted cash flow analysis,1
What is the hurdle rate in capital budgeting?,1
How do you calculate the days sales outstanding?,1
impact of an asset write-down on the debt-to-equity ratio,1
What is the difference between statutory and strategic restructuring?,1
Can a company have a negative cost of capital?,1
How to handle mutually exclusive projects with different lifespans?,1
What is the significance of the optimal capital structure?,1
explain the trade-off theory of leverage,1
What is cash pooling in multinational working capital management?,1
How does an acquisition affect the goodwill on a balance sheet?,1
What are flotation costs and how do they affect WACC?,1
Explain the clientele effect in dividend policy.,1
Difference between internal rate of return and modified irr?,1
how does a just-in-time inventory system impact working capital?,1
What is a carve-out in corporate finance?,1
Scenario: Company is overcapitalized. What are the potential remedies?,1
